ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Z_CostContact,Z_Revenue,Response,Children,Customer_Age,Loyalty_Score,Eco_Friendly_Score,Recency_Score,Spending_Ratio,Income_Category
5524,1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,3,11,1,0,68,22,259.96,58,0.03,Low
2174,1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,3,11,0,2,71,4,2.96,38,0.0,Low
4141,1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,3,11,0,0,60,20,131.9,26,0.01,Medium
6182,1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,3,11,0,1,41,6,11.74,26,0.0,Very Low
5324,1981,Doctorate,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,3,11,0,1,44,14,108.57,94,0.01,Low
7446,1967,Graduate,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,3,11,0,1,58,20,101.63,16,0.01,Medium
965,1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,3,11,0,1,54,17,162.41,34,0.01,Low
6177,1985,Doctorate,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,3,11,0,1,40,8,23.01,32,0.01,Low
4855,1974,Doctorate,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,3,11,1,1,51,5,2.49,19,0.0,Low
5899,1950,Doctorate,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,3,11,0,2,75,1,0.76,68,0.01,Very Low
