Year,Country,Avg_Temperature_degC,CO2_Emissions_tons_per_capita,Sea_Level_Rise_mm,Rainfall_mm,Population,Renewable_Energy_pct,Extreme_Weather_Events,Forest_Area_pct,Decade,Total_CO2_Emissions,Renewable_to_Emission_Ratio,Weather_Risk_Level,Forest_Change_Rate,Temperature_Change,Norm_Temp,Norm_Sea,Norm_Events,Climate_Impact_Score
2000,'South Africa',31.5,10.5,2.7,1949.0,578915635,29.2,1,56.2,2000,6078614167.5,2.780949732428826,Faible,,,0.8862876254180602,0.42500000000000004,0.07142857142857142,0.46090539894887717
2000,'South Africa',14.9,19.0,1.3,2499.0,131635220,18.7,14,56.3,2000,2501069180.0,0.984210008310522,Modéré,0.09999999999999432,-16.6,0.3311036789297659,0.07500000000000001,1.0,0.46870122630992195
2000,'South Africa',30.4,12.2,4.5,1498.0,755505933,36.9,0,30.8,2000,9217172382.6,3.024587684764193,Faible,-25.499999999999996,15.499999999999998,0.8494983277591973,0.875,0.0,0.5748327759197324
2000,'South Africa',24.0,14.3,1.7,2762.0,313096322,17.5,6,17.1,2000,4477277404.6,1.2237753679892531,Faible,-13.7,-6.399999999999999,0.6354515050167223,0.175,0.42857142857142855,0.4130076445293836
2000,'South Africa',34.8,8.6,1.9,2236.0,824102127,10.2,2,11.1,2000,7087278292.2,1.1860451325056598,Faible,-6.000000000000002,10.799999999999997,0.9966555183946487,0.22499999999999998,0.14285714285714285,0.45483755375059715
2000,'South Africa',15.3,15.4,4.6,1987.0,1106864831,35.9,8,25.6,2000,17045718397.4,2.33116731742382,Faible,14.500000000000002,-19.499999999999996,0.34448160535117056,0.8999999999999999,0.5714285714285714,0.6053033922599139
2000,'South Africa',31.9,17.9,4.1,2398.0,64497807,29.5,12,30.5,2000,1154510745.3,1.6480437720425856,Modéré,4.899999999999999,16.599999999999998,0.8996655518394648,0.7749999999999999,0.8571428571428571,0.8439361363274407
2001,'South Africa',34.3,9.7,2.9,1241.0,1356204695,27.0,13,51.3,2000,13155185541.499998,2.783502285049191,Modéré,20.799999999999997,2.3999999999999986,0.9799331103678929,0.475,0.9285714285714285,0.7945015129797738
2001,'South Africa',24.2,2.4,1.3,1277.0,614224337,12.1,10,27.5,2000,1474138408.8,5.041645659809751,Modéré,-23.799999999999997,-10.099999999999998,0.6421404682274247,0.07500000000000001,0.7142857142857142,0.477142060837713
2001,'South Africa',5.0,4.0,2.4,716.0,779600765,44.1,9,34.3,2000,3118403060.0,11.024972437568907,Faible,6.799999999999997,-19.2,0.0,0.35,0.6428571428571428,0.33095238095238094
2001,'South Africa',23.4,1.9,3.6,2776.0,936138519,45.8,7,21.9,2000,1778663186.1,24.105136288756373,Faible,-12.399999999999999,18.4,0.6153846153846153,0.65,0.5,0.5884615384615385
2002,'South Africa',33.8,6.8,4.0,2381.0,351991271,8.5,4,62.1,2000,2393540642.7999997,1.2499981617674092,Faible,40.2,10.399999999999999,0.963210702341137,0.75,0.2857142857142857,0.6663083293518075
2002,'South Africa',27.8,4.4,2.1,2369.0,169324386,48.5,12,13.6,2000,745027298.4000001,11.022702221131315,Modéré,-48.5,-5.9999999999999964,0.7625418060200668,0.275,0.8571428571428571,0.6315615543876413
2003,'South Africa',29.2,2.0,1.5,2141.0,1159052094,17.9,13,69.2,2000,2318104188.0,8.949955250223748,Modéré,55.6,1.3999999999999986,0.8093645484949832,0.125,0.9285714285714285,0.6209786590221372
2003,'South Africa',10.1,12.8,1.4,863.0,330834956,26.7,9,14.7,2000,4234687436.8,2.085935870362601,Faible,-54.5,-19.1,0.1705685618729097,0.09999999999999998,0.6428571428571428,0.3044752349100175
2003,'South Africa',30.2,8.5,2.9,1604.0,1168018187,28.7,3,33.9,2000,9928154589.5,3.3764666159216286,Faible,19.2,20.1,0.842809364548495,0.475,0.21428571428571427,0.5106983596114031
2004,'South Africa',21.9,15.2,3.4,647.0,948953337,18.8,10,46.2,2000,14424090722.4,1.236841291551782,Modéré,12.300000000000004,-8.3,0.5652173913043478,0.6,0.7142857142857142,0.6265010351966873
2004,'South Africa',30.9,8.6,4.8,1466.0,999167792,6.7,7,66.7,2000,8592843011.199999,0.7790688615478355,Faible,20.5,9.0,0.8662207357859532,0.95,0.5,0.7720735785953177
2004,'South Africa',21.5,10.6,3.0,1227.0,756443018,20.2,0,49.1,2000,8018295990.8,1.905658579567378,Faible,-17.6,-9.399999999999999,0.5518394648829431,0.5,0.0,0.350613154960981
2004,'South Africa',22.3,4.4,4.2,679.0,289985187,23.4,4,57.8,2000,1275934822.8000002,5.3181697314324285,Faible,8.699999999999996,0.8000000000000007,0.5785953177257525,0.8,0.2857142857142857,0.554769867813346
2006,'South Africa',12.0,10.8,4.1,2681.0,165768267,11.7,9,67.7,2000,1790297283.6000001,1.0833323302478424,Faible,9.900000000000006,-10.3,0.2341137123745819,0.7749999999999999,0.6428571428571428,0.5506569517439082
2006,'South Africa',6.1,16.7,4.0,2794.0,298662647,38.4,9,12.3,2000,4987666204.9,2.29939982071867,Faible,-55.400000000000006,-5.9,0.03678929765886285,0.75,0.6428571428571428,0.47654881350533523
2007,'South Africa',17.1,10.8,1.2,1598.0,1245372198,21.2,7,62.9,2000,13450019738.400002,1.9629611454063467,Faible,50.599999999999994,11.000000000000002,0.4046822742474917,0.04999999999999999,0.5,0.3182274247491639
2008,'South Africa',8.2,0.8,4.2,1061.0,748997300,30.1,6,68.3,2000,599197840.0,37.62452969337883,Faible,5.399999999999999,-8.900000000000002,0.10702341137123744,0.8,0.42857142857142855,0.4451982799808887
2009,'South Africa',17.0,14.6,1.5,1558.0,1002416208,11.1,9,44.0,2000,14635276636.8,0.7602734518674987,Faible,-24.299999999999997,8.8,0.4013377926421404,0.125,0.6428571428571428,0.3897316451664277
2009,'South Africa',17.7,11.5,1.2,2834.0,125314911,11.9,10,58.9,2000,1441121476.5,1.0347817088854705,Modéré,14.899999999999999,0.6999999999999993,0.4247491638795986,0.04999999999999999,0.7142857142857142,0.3963449593884376
2009,'South Africa',33.1,11.7,2.2,643.0,329758237,11.4,7,65.8,2000,3858171372.8999996,0.9743581415742381,Faible,6.899999999999999,15.400000000000002,0.9397993311036789,0.30000000000000004,0.5,0.579933110367893
2010,'South Africa',9.9,9.8,2.5,2137.0,1289186948,10.8,10,31.0,2010,12634032090.400002,1.102039691796233,Modéré,-34.8,-23.200000000000003,0.16387959866220736,0.375,0.7142857142857142,0.41772177098264046
2010,'South Africa',15.6,13.1,3.6,1712.0,1026431056,13.7,7,27.4,2010,13446246833.6,1.0458007283963906,Faible,-3.6000000000000014,5.699999999999999,0.35451505016722407,0.65,0.5,0.5015050167224081
2011,'South Africa',21.0,17.0,4.2,928.0,1140524807,25.7,5,60.8,2010,19388921719.0,1.5117638166095195,Faible,33.4,5.4,0.5351170568561873,0.8,0.3571428571428571,0.5640866379996815
